"dt_referencia"|"hr_referencia"|"tot_alo"|"tot_cpc"|"tot_venda"|"alo_acionamento"|"cpc_alo"|"venda_cpc"|"cpc_acionamento"|"venda_acionamento"
"2016-08-02"|"18"|320|86|15|19.94|26.88|17.44|5.36|0.93
"2016-08-02"|"19"|284|86|23|15.84|30.28|26.74|4.80|1.28
"2016-08-02"|"20"|210|58|13|18.13|27.62|22.41|5.01|1.12
"2016-08-03"|"08"|11|1|0|11.46|9.09|0.00|1.04|0.00
"2016-08-03"|"09"|401|105|22|15.38|26.18|20.95|4.03|0.84
"2016-08-03"|"10"|380|116|24|13.82|30.53|20.69|4.22|0.87
"2016-08-03"|"11"|489|126|20|13.93|25.77|15.87|3.59|0.57
"2016-08-03"|"12"|507|138|25|14.82|27.22|18.12|4.03|0.73
"2016-08-03"|"13"|482|105|33|14.52|21.78|31.43|3.16|0.99
"2016-08-03"|"14"|625|138|23|15.00|22.08|16.67|3.31|0.55
"2016-08-03"|"15"|456|107|14|13.50|23.46|13.08|3.17|0.41
"2016-08-03"|"16"|532|134|23|22.01|25.19|17.16|5.54|0.95
"2016-08-03"|"17"|492|126|19|13.90|25.61|15.08|3.56|0.54
"2016-08-03"|"18"|378|132|17|15.59|34.92|12.88|5.44|0.70
"2016-08-03"|"19"|374|107|15|14.96|28.61|14.02|4.28|0.60
"2016-08-03"|"20"|372|85|17|14.83|22.85|20.00|3.39|0.68
"2016-08-03"|"21"|0|0|0|0.00|0|0|0.00|0.00
"2016-08-04"|"08"|23|8|1|27.06|34.78|12.50|9.41|1.18
"2016-08-04"|"09"|443|128|24|14.29|28.89|18.75|4.13|0.77
"2016-08-04"|"10"|362|117|27|13.69|32.32|23.08|4.42|1.02
"2016-08-04"|"11"|480|139|24|13.58|28.96|17.27|3.93|0.68
"2016-08-04"|"12"|473|114|25|14.26|24.10|21.93|3.44|0.75
"2016-08-04"|"13"|560|132|18|13.61|23.57|13.64|3.21|0.44
"2016-08-04"|"14"|620|149|24|13.85|24.03|16.11|3.33|0.54
"2016-08-04"|"15"|727|162|18|15.16|22.28|11.11|3.38|0.38
"2016-08-04"|"16"|637|158|22|15.82|24.80|13.92|3.92|0.55
"2016-08-04"|"17"|543|123|9|16.00|22.65|7.32|3.63|0.27
"2016-08-04"|"18"|395|115|19|18.06|29.11|16.52|5.26|0.87
"2016-08-04"|"19"|343|77|11|21.57|22.45|14.29|4.84|0.69
"2016-08-04"|"20"|323|89|16|25.10|27.55|17.98|6.92|1.24
"2016-08-05"|"08"|11|2|0|36.67|18.18|0.00|6.67|0.00
"2016-08-05"|"09"|432|110|18|22.82|25.46|16.36|5.81|0.95
"2016-08-05"|"10"|416|89|21|16.91|21.39|23.60|3.62|0.85
"2016-08-05"|"11"|411|114|15|15.70|27.74|13.16|4.35|0.57
"2016-08-05"|"12"|450|112|23|14.73|24.89|20.54|3.67|0.75
"2016-08-05"|"13"|439|121|23|17.48|27.56|19.01|4.82|0.92
"2016-08-05"|"14"|505|129|23|13.95|25.54|17.83|3.56|0.64
"2016-08-05"|"15"|460|121|20|13.50|26.30|16.53|3.55|0.59
"2016-08-05"|"16"|370|77|11|15.30|20.81|14.29|3.18|0.45
"2016-08-05"|"17"|331|83|11|17.33|25.08|13.25|4.35|0.58
"2016-08-05"|"18"|351|88|13|19.23|25.07|14.77|4.82|0.71
"2016-08-05"|"19"|337|79|8|19.72|23.44|10.13|4.62|0.47
"2016-08-05"|"20"|274|55|15|13.54|20.07|27.27|2.72|0.74
"2016-08-05"|"21"|0|0|0|0.00|0|0|0.00|0.00
"2016-08-06"|"09"|5|2|0|17.24|40.00|0.00|6.90|0.00
"2016-08-06"|"10"|676|161|24|14.97|23.82|14.91|3.56|0.53
"2016-08-06"|"11"|605|173|32|12.96|28.60|18.50|3.71|0.69
"2016-08-06"|"12"|630|155|28|13.68|24.60|18.06|3.37|0.61
"2016-08-06"|"13"|552|138|25|12.08|25.00|18.12|3.02|0.55
"2016-08-06"|"14"|581|144|18|14.88|24.78|12.50|3.69|0.46
"2016-08-06"|"15"|559|129|14|13.84|23.08|10.85|3.19|0.35
"2016-08-06"|"16"|52|7|1|15.48|13.46|14.29|2.08|0.30
"2016-08-08"|"08"|1|0|0|25.00|0.00|0|0.00|0.00
"2016-08-08"|"09"|322|112|14|12.67|34.78|12.50|4.41|0.55
"2016-08-08"|"10"|301|89|14|14.82|29.57|15.73|4.38|0.69
"2016-08-08"|"11"|406|120|23|18.65|29.56|19.17|5.51|1.06
"2016-08-08"|"12"|395|126|16|16.84|31.90|12.70|5.37|0.68
"2016-08-08"|"13"|443|122|18|14.92|27.54|14.75|4.11|0.61
"2016-08-08"|"14"|541|129|17|15.60|23.84|13.18|3.72|0.49
"2016-08-08"|"15"|428|105|18|10.47|24.53|17.14|2.57|0.44
"2016-08-08"|"16"|468|112|15|12.42|23.93|13.39|2.97|0.40
"2016-08-08"|"17"|371|104|17|12.05|28.03|16.35|3.38|0.55
"2016-08-08"|"18"|348|90|13|12.28|25.86|14.44|3.18|0.46
"2016-08-08"|"19"|333|93|14|13.45|27.93|15.05|3.76|0.57
"2016-08-08"|"20"|306|76|10|13.31|24.84|13.16|3.31|0.43
"2016-08-08"|"21"|0|0|0|0.00|0|0|0.00|0.00
"2016-08-09"|"08"|7|1|0|19.44|14.29|0.00|2.78|0.00
"2016-08-09"|"09"|420|97|20|11.92|23.10|20.62|2.75|0.57
"2016-08-09"|"10"|372|80|12|10.83|21.51|15.00|2.33|0.35
"2016-08-09"|"11"|443|106|14|10.36|23.93|13.21|2.48|0.33
